image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
00000299.jpg,Warrior2,0.27041683,0.1552615,0.26973292,0.13208134,0.25787196,0.13442601,0.0,0.0,0.22265866,0.15554124,0.2919463,0.2696802,0.16848627,0.26132864,0.37463203,0.2514461,0.09236907,0.2587871,0.45895717,0.23606578,0.018794537,0.26347435,0.2750479,0.59376967,0.17887463,0.5978707,0.39004874,0.68850815,0.10252886,0.7229096,0.38556978,0.9451602,0.027799224,0.95720136
00000414.jpg,Warrior2,0.5907787,0.24704292,0.60009396,0.23090735,0.5913288,0.23144047,0.63656616,0.24186063,0.0,0.0,0.6966898,0.32628918,0.57889915,0.33396342,0.7835739,0.32106388,0.49318728,0.32903686,0.85474557,0.30283916,0.41082945,0.3025528,0.69445777,0.5765261,0.6010182,0.57890105,0.77414435,0.63073665,0.5058473,0.6418403,0.8490961,0.7806128,0.48539034,0.8068427
00000107.jpg,Warrior2,0.46239504,0.13275647,0.47346488,0.112584814,0.46297237,0.10866132,0.5091126,0.12803133,0.0,0.0,0.55988544,0.25438663,0.4400386,0.233818,0.6519078,0.25536704,0.35446745,0.24830763,0.7379361,0.24078138,0.25679305,0.24451043,0.52887005,0.5965776,0.43169194,0.578503,0.62653774,0.715086,0.32340977,0.66759247,0.72547466,0.94232416,0.31057087,0.9012989
00000406.jpg,Warrior2,0.0,0.0,0.0,0.0,0.0,0.0,0.45960617,0.13504945,0.50095606,0.14159693,0.4308469,0.22767568,0.5674201,0.22897018,0.31256515,0.24580862,0.6618692,0.23023435,0.17931871,0.23128085,0.78241104,0.20399539,0.43597037,0.5186264,0.5488868,0.518031,0.29645994,0.62919194,0.654126,0.6545874,0.22750807,0.7934268,0.7925611,0.80698246
00000150.jpg,Warrior2,0.5435078,0.3791973,0.5564108,0.36800355,0.52510756,0.36874208,0.57371014,0.37633288,0.49808615,0.3781773,0.60272783,0.42755938,0.45559382,0.42440122,0.72026116,0.41470093,0.3435119,0.41874075,0.8313844,0.40873617,0.229484,0.408836,0.5564829,0.5880162,0.44202814,0.5863252,0.678781,0.64643747,0.35122776,0.65950805,0.6881068,0.7559251,0.23162912,0.76687676
00000219.jpg,Warrior2,0.44662124,0.20340808,0.45834315,0.18870322,0.0,0.0,0.49794608,0.19988215,0.0,0.0,0.5632979,0.28990552,0.4309931,0.27170736,0.67156965,0.31451166,0.3279102,0.2824253,0.795186,0.3305787,0.22254413,0.26463512,0.5631304,0.51110184,0.45475549,0.5024859,0.66980326,0.62418675,0.34397602,0.5954144,0.78795534,0.7759556,0.3340158,0.75755984
00000106.jpg,Warrior2,0.48498544,0.14411245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56417966,0.22909245,0.47521245,0.23686455,0.6819839,0.24742904,0.34414288,0.25918734,0.7596214,0.23933142,0.20531085,0.26941878,0.54585844,0.48151916,0.47235098,0.4785289,0.5661805,0.58881426,0.30136168,0.6017963,0.71791655,0.7406726,0.27234173,0.7896456
00000291.jpg,Warrior2,0.43240982,0.110105686,0.44294623,0.09500266,0.0,0.0,0.48969615,0.114942946,0.0,0.0,0.49004716,0.21363148,0.58133996,0.21503426,0.36591244,0.22237036,0.6199206,0.24163513,0.2524468,0.25498435,0.60837585,0.24917492,0.5482909,0.52561206,0.57235324,0.5057797,0.38030607,0.609718,0.30474848,0.5693148,0.5196193,0.8460908,0.2977923,0.8184897
00000317.jpg,Warrior2,0.5229485,0.3695596,0.0,0.0,0.0,0.0,0.53794736,0.36985397,0.0,0.0,0.51050156,0.42800474,0.610237,0.43895793,0.42999816,0.4323282,0.6847049,0.44012913,0.3433606,0.41356608,0.77963,0.4200276,0.5087363,0.6263347,0.5881491,0.6339017,0.42071316,0.707789,0.6629684,0.7506171,0.3943967,0.85562944,0.7668901,0.8859772
00000136.jpg,Warrior2,0.4593421,0.20052692,0.47001848,0.18226498,0.0,0.0,0.5053444,0.19476262,0.0,0.0,0.56544256,0.30328226,0.4367437,0.28785965,0.66016936,0.29608068,0.34614292,0.30102092,0.7518971,0.30182937,0.23823547,0.29465997,0.5551536,0.5692486,0.4480701,0.554978,0.6809294,0.677956,0.32938522,0.6225969,0.7847396,0.8756086,0.31473044,0.81692606
